"Wanderungen zwischen Deutschland und dem Ausland:
Deutschland, Jahre, Nationalität, Geschlecht, Altersjahre";;;;;;;;;;;;;;;;;;;;;;;;;;;
Wanderungsstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Jahr
Altersjahre";Deutsche;;;;;;;;;Ausländer;;;;;;;;;Insgesamt;;;;;;;;
;männlich;;;weiblich;;;Insgesamt;;;männlich;;;weiblich;;;Insgesamt;;;männlich;;;weiblich;;;Insgesamt;;
;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo
;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2021;;;;;;;;;;;;;;;;;;;;;;;;;;;
27-Jährige;2902;4094;-1192;1640;2649;-1009;4542;6743;-2201;24129;16083;8046;15530;7687;7843;39659;23770;15889;27031;20177;6854;17170;10336;6834;44201;30513;13688
28-Jährige;2955;4100;-1145;1665;2673;-1008;4620;6773;-2153;22631;15824;6807;14241;7499;6742;36872;23323;13549;25586;19924;5662;15906;10172;5734;41492;30096;11396
29-Jährige;3056;4044;-988;1674;2500;-826;4730;6544;-1814;21348;15566;5782;13147;7140;6007;34495;22706;11789;24404;19610;4794;14821;9640;5181;39225;29250;9975
30-Jährige;2956;4099;-1143;1637;2409;-772;4593;6508;-1915;19789;14772;5017;12220;6808;5412;32009;21580;10429;22745;18871;3874;13857;9217;4640;36602;28088;8514
31-Jährige;3072;4170;-1098;1617;2408;-791;4689;6578;-1889;19888;15224;4664;11493;6510;4983;31381;21734;9647;22960;19394;3566;13110;8918;4192;36070;28312;7758
32-Jährige;3171;4050;-879;1584;2245;-661;4755;6295;-1540;18525;14333;4192;10674;6358;4316;29199;20691;8508;21696;18383;3313;12258;8603;3655;33954;26986;6968
33-Jährige;3041;3927;-886;1562;2223;-661;4603;6150;-1547;17854;14303;3551;9970;5840;4130;27824;20143;7681;20895;18230;2665;11532;8063;3469;32427;26293;6134
34-Jährige;3002;3892;-890;1501;2072;-571;4503;5964;-1461;16743;13523;3220;9063;5369;3694;25806;18892;6914;19745;17415;2330;10564;7441;3123;30309;24856;5453
35-Jährige;2924;3693;-769;1404;1982;-578;4328;5675;-1347;15513;12562;2951;8432;5108;3324;23945;17670;6275;18437;16255;2182;9836;7090;2746;28273;23345;4928
36-Jährige;2752;3580;-828;1361;1846;-485;4113;5426;-1313;14848;11932;2916;7730;4815;2915;22578;16747;5831;17600;15512;2088;9091;6661;2430;26691;22173;4518
37-Jährige;2688;3438;-750;1287;1789;-502;3975;5227;-1252;13958;11494;2464;7275;4456;2819;21233;15950;5283;16646;14932;1714;8562;6245;2317;25208;21177;4031
38-Jährige;2655;3261;-606;1245;1724;-479;3900;4985;-1085;13091;10735;2356;6843;4322;2521;19934;15057;4877;15746;13996;1750;8088;6046;2042;23834;20042;3792
39-Jährige;2489;3208;-719;1255;1675;-420;3744;4883;-1139;12602;10648;1954;6446;4045;2401;19048;14693;4355;15091;13856;1235;7701;5720;1981;22792;19576;3216
40-Jährige;2450;2977;-527;1097;1599;-502;3547;4576;-1029;11935;10162;1773;6251;3981;2270;18186;14143;4043;14385;13139;1246;7348;5580;1768;21733;18719;3014
41-Jährige;2265;2892;-627;1085;1492;-407;3350;4384;-1034;11748;10009;1739;6167;3985;2182;17915;13994;3921;14013;12901;1112;7252;5477;1775;21265;18378;2887
42-Jährige;2101;2543;-442;926;1311;-385;3027;3854;-827;11419;9737;1682;5938;3833;2105;17357;13570;3787;13520;12280;1240;6864;5144;1720;20384;17424;2960
43-Jährige;1935;2475;-540;913;1194;-281;2848;3669;-821;11079;9667;1412;5701;3754;1947;16780;13421;3359;13014;12142;872;6614;4948;1666;19628;17090;2538
44-Jährige;1799;2245;-446;797;1149;-352;2596;3394;-798;10554;9238;1316;5658;3861;1797;16212;13099;3113;12353;11483;870;6455;5010;1445;18808;16493;2315
45-Jährige;1626;1991;-365;770;1083;-313;2396;3074;-678;10166;9132;1034;5437;3676;1761;15603;12808;2795;11792;11123;669;6207;4759;1448;17999;15882;2117
46-Jährige;1512;1992;-480;733;982;-249;2245;2974;-729;9793;9035;758;5414;3821;1593;15207;12856;2351;11305;11027;278;6147;4803;1344;17452;15830;1622
47-Jährige;1394;1811;-417;716;918;-202;2110;2729;-619;9450;8685;765;5048;3714;1334;14498;12399;2099;10844;10496;348;5764;4632;1132;16608;15128;1480
48-Jährige;1343;1688;-345;634;853;-219;1977;2541;-564;8471;7743;728;4625;3312;1313;13096;11055;2041;9814;9431;383;5259;4165;1094;15073;13596;1477
49-Jährige;1384;1783;-399;696;919;-223;2080;2702;-622;8165;7724;441;4495;3408;1087;12660;11132;1528;9549;9507;42;5191;4327;864;14740;13834;906
50-Jährige;1486;1854;-368;646;872;-226;2132;2726;-594;7578;7295;283;4312;3207;1105;11890;10502;1388;9064;9149;-85;4958;4079;879;14022;13228;794
51-Jährige;1437;1830;-393;709;946;-237;2146;2776;-630;7060;6827;233;4031;3106;925;11091;9933;1158;8497;8657;-160;4740;4052;688;13237;12709;528
52-Jährige;1406;1835;-429;751;920;-169;2157;2755;-598;6714;6426;288;3809;3028;781;10523;9454;1069;8120;8261;-141;4560;3948;612;12680;12209;471
53-Jährige;1446;1792;-346;678;920;-242;2124;2712;-588;6245;6210;35;3613;2991;622;9858;9201;657;7691;8002;-311;4291;3911;380;11982;11913;69
54-Jährige;1494;1874;-380;713;896;-183;2207;2770;-563;5401;5517;-116;3153;2763;390;8554;8280;274;6895;7391;-496;3866;3659;207;10761;11050;-289
55-Jährige;1417;1791;-374;682;916;-234;2099;2707;-608;4419;4507;-88;2563;2238;325;6982;6745;237;5836;6298;-462;3245;3154;91;9081;9452;-371
56-Jährige;1330;1718;-388;674;919;-245;2004;2637;-633;4009;4202;-193;2270;2098;172;6279;6300;-21;5339;5920;-581;2944;3017;-73;8283;8937;-654
57-Jährige;1280;1636;-356;664;850;-186;1944;2486;-542;3659;3956;-297;2179;1986;193;5838;5942;-104;4939;5592;-653;2843;2836;7;7782;8428;-646
58-Jährige;1171;1551;-380;569;785;-216;1740;2336;-596;3322;3404;-82;1891;1865;26;5213;5269;-56;4493;4955;-462;2460;2650;-190;6953;7605;-652
59-Jährige;1086;1319;-233;589;742;-153;1675;2061;-386;2860;3100;-240;1664;1687;-23;4524;4787;-263;3946;4419;-473;2253;2429;-176;6199;6848;-649
60-Jährige;1073;1318;-245;545;661;-116;1618;1979;-361;2425;2855;-430;1557;1681;-124;3982;4536;-554;3498;4173;-675;2102;2342;-240;5600;6515;-915
61-Jährige;926;1208;-282;512;635;-123;1438;1843;-405;2241;2563;-322;1413;1547;-134;3654;4110;-456;3167;3771;-604;1925;2182;-257;5092;5953;-861
62-Jährige;862;1092;-230;448;604;-156;1310;1696;-386;1832;2233;-401;1229;1411;-182;3061;3644;-583;2694;3325;-631;1677;2015;-338;4371;5340;-969
63-Jährige;790;1063;-273;426;582;-156;1216;1645;-429;1594;2065;-471;1099;1379;-280;2693;3444;-751;2384;3128;-744;1525;1961;-436;3909;5089;-1180
64-Jährige;737;1049;-312;409;565;-156;1146;1614;-468;1321;1858;-537;1009;1255;-246;2330;3113;-783;2058;2907;-849;1418;1820;-402;3476;4727;-1251
